variable,state_compared,u_statistic,p_value
median_household_income,AZ,336.0,0.0035
median_household_income,CA,733.0,0.3331
median_household_income,FL,1374.5,0.0013
poverty_rate,AZ,52.0,0.0
poverty_rate,CA,522.0,0.0041
poverty_rate,FL,444.0,0.0
unemployment_rate,AZ,62.0,0.0001
unemployment_rate,CA,260.0,0.0
unemployment_rate,FL,528.0,0.0004
bachelors_plus_rate,AZ,290.0,0.0746
bachelors_plus_rate,CA,824.0,0.8819
bachelors_plus_rate,FL,1137.0,0.188
