state,year,day_of_week,crime_type,avg_daily_count,data_year,population,avg_daily_rate_per_100k
AZ,2022,0,burglary,4.0344827586206895,2022,7058999,0.057153751666782916
AZ,2022,0,motor_vehicle_theft,3.783333333333333,2022,7058999,0.053595889917725355
AZ,2022,1,burglary,3.6914600550964187,2022,7058999,0.052294384162632955
AZ,2022,1,motor_vehicle_theft,3.8074074074074074,2022,7058999,0.053936930822732904
AZ,2022,2,burglary,3.9129129129129128,2022,7058999,0.055431554996861636
AZ,2022,2,motor_vehicle_theft,3.7481751824817517,2022,7058999,0.05309782849497148
AZ,2022,3,burglary,3.970149253731343,2022,7058999,0.05624238300262322
AZ,2022,3,motor_vehicle_theft,3.512455516014235,2022,7058999,0.04975854956225712
AZ,2022,4,burglary,4.465116279069767,2022,7058999,0.06325424155846697
AZ,2022,4,motor_vehicle_theft,3.8445945945945947,2022,7058999,0.054463736212380744
AZ,2022,5,burglary,3.966867469879518,2022,7058999,0.056195892220405726
AZ,2022,5,motor_vehicle_theft,3.7526501766784452,2022,7058999,0.053161222670217764
AZ,2022,6,burglary,3.782334384858044,2022,7058999,0.05358173849943943
AZ,2022,6,motor_vehicle_theft,3.6259541984732824,2022,7058999,0.05136640759508936
AZ,2023,0,burglary,3.776470588235294,2023,7153691,0.0527905187438945
AZ,2023,0,motor_vehicle_theft,4.348122866894198,2023,7153691,0.06078153035816333
AZ,2023,1,burglary,3.8,2023,7153691,0.05311943163326456
AZ,2023,1,motor_vehicle_theft,4.192857142857143,2023,7153691,0.05861110219685395
AZ,2023,2,burglary,3.780564263322884,2023,7153691,0.05284774340019557
AZ,2023,2,motor_vehicle_theft,4.265384615384615,2023,7153691,0.05962494907013199
AZ,2023,3,burglary,3.943708609271523,2023,7153691,0.05512830522413567
AZ,2023,3,motor_vehicle_theft,4.08058608058608,2023,7153691,0.05704168771877455
AZ,2023,4,burglary,4.113372093023256,2023,7153691,0.057499996757244
AZ,2023,4,motor_vehicle_theft,4.681003584229391,2023,7153691,0.06543480259672092
AZ,2023,5,burglary,3.6551724137931036,2023,7153691,0.051094916090072995
AZ,2023,5,motor_vehicle_theft,4.49645390070922,2023,7153691,0.06285501988706557
AZ,2023,6,burglary,3.6699346405228757,2023,7153691,0.05130127427258007
AZ,2023,6,motor_vehicle_theft,4.642335766423358,2023,7153691,0.06489427299031168
AZ,2024,0,burglary,4.346153846153846,2024,7262907,0.05984041715189037
AZ,2024,0,motor_vehicle_theft,4.934707903780069,2024,7262907,0.06794397758060332
AZ,2024,1,burglary,4.2254901960784315,2024,7262907,0.058179048638216505
AZ,2024,1,motor_vehicle_theft,5.25278810408922,2024,7262907,0.0723234939410517
