state,county_name,median_household_income,poverty_rate,unemployment_rate,bachelors_plus_rate
AZ,Apache County,40338.0,0.3122374684962195,0.0910620213378193,0.1526852353259718
AZ,Cochise County,58970.0,0.1553853630741901,0.0680141161373115,0.2765771518838436
AZ,Coconino County,69748.0,0.1768342268538039,0.0621718636230088,0.3961938901319695
AZ,Gila County,59089.0,0.1777527101695887,0.0686186050708292,0.1884718899521531
AZ,Graham County,67326.0,0.176770078607995,0.0594608056783512,0.1459132189707366
AZ,Greenlee County,75239.0,0.107947301317467,0.0341938405797101,0.2041459369817578
AZ,La Paz County,49506.0,0.1844499078057775,0.097821253890618,0.138551031200423
AZ,Maricopa County,85518.0,0.1125035674475243,0.0440170667500931,0.3585800579989225
AZ,Mohave County,55799.0,0.1683167385486579,0.0648858023630258,0.1488545563987867
AZ,Navajo County,52752.0,0.2471248513674197,0.0805840338175987,0.176314946594438
AZ,Pima County,67929.0,0.1435233333137477,0.0538025766759053,0.35870627429206
AZ,Pinal County,77588.0,0.1087178865898919,0.0551596274297261,0.2215021580920576
AZ,Santa Cruz County,53614.0,0.2021323116006913,0.0948660714285714,0.2406951854573336
AZ,Yavapai County,66106.0,0.1259446480475167,0.0404194035951595,0.2960225254126742
AZ,Yuma County,60417.0,0.1645786674132139,0.0751533914370001,0.1667198835663738
CA,Alameda County,126240.0,0.0922063720371209,0.0491890404595733,0.5146936470398402
CA,Alpine County,110781.0,0.1233038348082595,0.0347305389221556,0.4210526315789473
CA,Amador County,81526.0,0.0775417339083044,0.0575416528743241,0.2244339158257445
CA,Butte County,68574.0,0.183435076074897,0.0663878965781433,0.3172056427344656
CA,Calaveras County,79877.0,0.133610086100861,0.055277874004058,0.2218580153527203
CA,Colusa County,75149.0,0.1080229757272558,0.0773889037314097,0.1452397995705082
CA,Contra Costa County,125727.0,0.0825156830844933,0.0558482498844219,0.4491015896659383
CA,Del Norte County,66780.0,0.1162231484450144,0.0603083178045061,0.2097416007656273
CA,El Dorado County,106190.0,0.0826365648702804,0.0460968384546308,0.3882410175418805
CA,Fresno County,71434.0,0.1867315123063604,0.0787638135223987,0.2385449590848958
CA,Glenn County,70487.0,0.1235658478214964,0.068707392059885,0.1648233651884462
CA,Humboldt County,61135.0,0.1890709393198756,0.0800718990043673,0.3208513824268677
CA,Imperial County,56393.0,0.1964172285386278,0.1115670554858973,0.1610026948327937
CA,Inyo County,72432.0,0.104828186167899,0.0267201068804275,0.3181981722673958
CA,Kern County,67660.0,0.1904753845893482,0.0770816763964333,0.185735759918398
CA,Kings County,68750.0,0.1677286786184775,0.0894021319326432,0.1391909571406143
CA,Lake County,58738.0,0.1667563527653214,0.1028261216669327,0.1774394605088382
CA,Lassen County,64395.0,0.1367560578888101,0.070798848506657,0.132127239989711
CA,Los Angeles County,87760.0,0.1364301809875908,0.0656660978732825,0.3547099241909215
CA,Madera County,75496.0,0.198640503263845,0.0958092640136927,0.1712878493305018
CA,Marin County,142785.0,0.0782781712155589,0.0575655475311539,0.6045916621480051
CA,Mariposa County,65378.0,0.1389332859764399,0.0646795475966069,0.3086170848267622
CA,Mendocino County,64688.0,0.1516143497757847,0.0854507023647012,0.249236857848476
CA,Merced County,65044.0,0.184038478667498,0.0971072290375251,0.1478021529454299
CA,Modoc County,56648.0,0.2027633443552196,0.0563542265669925,0.230040385212799
CA,Mono County,86953.0,0.1103707107843137,0.019979376127868,0.3432124352331606
CA,Monterey County,94486.0,0.125814794666972,0.0488296974576353,0.2788372709238955
CA,Napa County,108970.0,0.0842858428584285,0.0483445026872802,0.3851712542289727
CA,Nevada County,84905.0,0.1059142434696895,0.0446113529909415,0.3946003256465599
CA,Orange County,113702.0,0.0948584240588398,0.0507351450010139,0.4340103767266012
CA,Placer County,114678.0,0.067050595456435,0.0429880363483747,0.4289064398957894
CA,Plumas County,64946.0,0.1073016857999793,0.0886148882230928,0.2046291425565491
CA,Riverside County,89672.0,0.1106118696184158,0.0617623554085821,0.250840176879343
CA,Sacramento County,88724.0,0.1261533488401509,0.060531180487209,0.3328378226721884
CA,San Benito County,108289.0,0.0779469996954005,0.0562237916574707,0.2238665132336018
CA,San Bernardino County,82184.0,0.1357370441422949,0.0666493178118111,0.229014403381373
CA,San Diego County,102285.0,0.1035269729034036,0.0586563760350869,0.4208987125049854
CA,San Francisco County,141446.0,0.1058288132258385,0.053245781791785,0.6012076421243264
CA,San Joaquin County,88531.0,0.1255537920445388,0.068613062034789,0.215729580366251
CA,San Luis Obispo County,93398.0,0.1284698119826537,0.0480983802415561,0.392014003879453
CA,San Mateo County,156000.0,0.064913349580287,0.0428096415985413,0.5307123407216751
CA,Santa Barbara County,95977.0,0.137728576550735,0.0579360367017936,0.3586993995460683
CA,Santa Clara County,159674.0,0.0686460951021195,0.0427113487828071,0.5586562705035025
CA,Santa Cruz County,109266.0,0.1121779290228488,0.0531460274652659,0.4355796468303216
CA,Shasta County,71931.0,0.129757659558984,0.0587424633936261,0.2326668579004085
CA,Sierra County,60000.0,0.1234333459931636,0.1086474501108647,0.244047619047619
CA,Siskiyou County,55499.0,0.1657338952992929,0.0712822613682916,0.2308361557343939
CA,Solano County,99994.0,0.0969234778864349,0.055364542382966,0.2836704143707997
CA,Sonoma County,102840.0,0.0857102881999043,0.0493573942694732,0.378469385158651
CA,Stanislaus County,79661.0,0.1314843921339279,0.0720698574207477,0.1913694570103662
CA,Sutter County,75450.0,0.1477321373967995,0.0656480375602322,0.2020745235030949
CA,Tehama County,61834.0,0.1541929109546745,0.0629191186533461,0.1884319223750389
CA,Trinity County,53498.0,0.1800139940207366,0.0560814431148419,0.1804651919323357
CA,Tulare County,69489.0,0.1775726581546041,0.0812709015555758,0.1583949091113421
CA,Tuolumne County,72259.0,0.1071966915317126,0.0736241039970841,0.2394446829826821
CA,Ventura County,107327.0,0.0901785930061142,0.0518012865075104,0.3566576039958768
CA,Yolo County,88818.0,0.1626478779367308,0.0507374886457026,0.4408385081248704
CA,Yuba County,73313.0,0.1531778804327848,0.0679386875299377,0.178964071177604
NV,Churchill County,73268.0,0.0913982812625491,0.0610161251114172,0.1860832299537611
NV,Clark County,73845.0,0.1320819368165142,0.0691036924925851,0.2730858178753908
NV,Douglas County,88018.0,0.0828776279013245,0.0306820148866193,0.3205157607726219
NV,Elko County,83427.0,0.110270331624449,0.0408445350564981,0.1753764393268379
NV,Esmeralda County,,0.193717277486911,0.027431421446384,0.2407407407407407
NV,Eureka County,73095.0,0.2206771463119709,0.0,0.1813285457809695
NV,Humboldt County,79946.0,0.1215995329830706,0.0513455691926584,0.1979780219780219
NV,Lander County,84474.0,0.114185639229422,0.0843003412969283,0.165680473372781
NV,Lincoln County,69496.0,0.0659696290764251,0.0169956140350877,0.1898654989052236
NV,Lyon County,73460.0,0.1100920468843123,0.0592505778559104,0.1720576552037226
NV,Mineral County,50584.0,0.1804357694053563,0.0497142857142857,0.1147040878584502
NV,Nye County,55975.0,0.1552843966179861,0.0870712401055409,0.1267374517374517
NV,Pershing County,72007.0,0.0805426027977956,0.056866048862679,0.093484419263456
NV,Storey County,96000.0,0.0707364341085271,0.0638873849485652,0.3163082437275986
NV,Washoe County,85600.0,0.1068508982839216,0.0473066724782971,0.3318290047678912
NV,White Pine County,72294.0,0.0838543082359336,0.0469304921359715,0.1415278403121717
NV,Carson City,71809.0,0.1109516033520555,0.0397673474908697,0.2450615380967061
