state,year,month,crime_type,mean_daily_rate_per_100k
CA,2023,8,motor_vehicle_theft,1.2585415829448061
CA,2023,9,burglary,0.9317122734799389
CA,2023,9,motor_vehicle_theft,1.2334794442240284
CA,2023,10,burglary,0.8577189666026549
CA,2023,10,motor_vehicle_theft,1.1756313621093168
CA,2023,11,burglary,0.8850480966793649
CA,2023,11,motor_vehicle_theft,1.130323323575054
CA,2023,12,burglary,0.8457621788140368
CA,2023,12,motor_vehicle_theft,1.1221313930764993
CA,2024,1,burglary,0.9075675597405446
CA,2024,1,motor_vehicle_theft,1.144622375870182
CA,2024,2,burglary,0.9103357905606306
CA,2024,2,motor_vehicle_theft,1.129737420954775
CA,2024,3,burglary,0.7854104359237278
CA,2024,3,motor_vehicle_theft,1.1436880235123337
CA,2024,4,burglary,0.9132569084954361
CA,2024,4,motor_vehicle_theft,1.0252741942036465
CA,2024,5,burglary,1.0026313007336483
CA,2024,5,motor_vehicle_theft,1.030245777454883
CA,2024,6,burglary,0.8630244039470024
CA,2024,6,motor_vehicle_theft,0.980008637027666
CA,2024,7,burglary,0.8346457004717602
CA,2024,7,motor_vehicle_theft,1.0653433570053472
CA,2024,8,burglary,0.8850944760562983
CA,2024,8,motor_vehicle_theft,0.9871044626337703
CA,2024,9,burglary,0.8074279697257025
CA,2024,9,motor_vehicle_theft,1.0698763005441516
CA,2024,10,burglary,0.8200220423949673
CA,2024,10,motor_vehicle_theft,0.9532005723377822
CA,2024,11,burglary,0.8913372946951383
CA,2024,11,motor_vehicle_theft,0.9073417698908784
CA,2024,12,burglary,0.8929100704304818
CA,2024,12,motor_vehicle_theft,0.8964740205965708
NV,2022,1,burglary,2.787445971995753
NV,2022,1,motor_vehicle_theft,2.3280005048995074
NV,2022,2,burglary,2.5807318528190573
NV,2022,2,motor_vehicle_theft,2.193791624337038
NV,2022,3,burglary,2.799525095942587
NV,2022,3,motor_vehicle_theft,3.6235626030171275
NV,2022,4,burglary,2.793493931547617
NV,2022,4,motor_vehicle_theft,2.2141458031943757
NV,2022,5,burglary,2.6285399559848206
NV,2022,5,motor_vehicle_theft,2.797412933424579
NV,2022,6,burglary,4.052421402339934
NV,2022,6,motor_vehicle_theft,3.2127042937372017
NV,2022,7,burglary,3.268446739405761
NV,2022,7,motor_vehicle_theft,2.4170574364531237
NV,2022,8,burglary,3.151578656867834
NV,2022,8,motor_vehicle_theft,2.3198993771254797
NV,2022,9,burglary,4.013166213547248
NV,2022,9,motor_vehicle_theft,2.961340400259591
NV,2022,10,burglary,3.6902388324137463
NV,2022,10,motor_vehicle_theft,3.2534629392774996
NV,2022,11,burglary,3.514845312912224
NV,2022,11,motor_vehicle_theft,2.472969219466337
NV,2022,12,burglary,4.395175296776024
NV,2022,12,motor_vehicle_theft,1.9385258937818213
NV,2023,1,burglary,3.315368519715406
NV,2023,1,motor_vehicle_theft,2.917636083337586
NV,2023,2,burglary,2.9631770951394096
NV,2023,2,motor_vehicle_theft,1.791657839574321
NV,2023,3,burglary,2.187124869748078
NV,2023,3,motor_vehicle_theft,2.9959323138637513
NV,2023,4,burglary,2.8491087276275717
NV,2023,4,motor_vehicle_theft,2.9461540947489646
NV,2023,5,burglary,4.098806303479273
NV,2023,5,motor_vehicle_theft,2.1442949441053414
NV,2023,6,burglary,3.2821700708027595
NV,2023,6,motor_vehicle_theft,2.90224811121534
NV,2023,7,burglary,2.3472282137264298
NV,2023,7,motor_vehicle_theft,2.820368076482439
NV,2023,8,burglary,2.81100143137776
NV,2023,8,motor_vehicle_theft,2.428631736305663
NV,2023,9,burglary,3.154195364745022
NV,2023,9,motor_vehicle_theft,3.501070275871257
NV,2023,10,burglary,2.7447392283783114
NV,2023,10,motor_vehicle_theft,3.815798550677359
NV,2023,11,burglary,3.0051612631920057
NV,2023,11,motor_vehicle_theft,2.4116204173658673
NV,2023,12,burglary,2.008773504275659
NV,2023,12,motor_vehicle_theft,2.3121418801122697
NV,2024,1,burglary,2.2835646366512523
NV,2024,1,motor_vehicle_theft,2.7081268462740073
NV,2024,2,burglary,1.9168167225451282
NV,2024,2,motor_vehicle_theft,2.294992927532345
NV,2024,3,burglary,2.328448535161308
NV,2024,3,motor_vehicle_theft,1.963533804034267
NV,2024,4,burglary,2.7559376971594296
NV,2024,4,motor_vehicle_theft,3.0849589187569273
NV,2024,5,burglary,2.9154552042333743
NV,2024,5,motor_vehicle_theft,2.4783669218025994
NV,2024,6,burglary,2.9895392716547597
NV,2024,6,motor_vehicle_theft,1.9786618313037072
NV,2024,7,burglary,2.8292227139023924
NV,2024,7,motor_vehicle_theft,1.42208851500299
NV,2024,8,burglary,2.1786709240185766
NV,2024,8,motor_vehicle_theft,2.0534202801170265
NV,2024,9,burglary,2.004553005708549
NV,2024,9,motor_vehicle_theft,2.058592381647816
NV,2024,10,burglary,2.546669780268385
NV,2024,10,motor_vehicle_theft,2.4599186470654546
NV,2024,11,burglary,1.4890547592827383
NV,2024,11,motor_vehicle_theft,2.239484963088293
NV,2024,12,burglary,1.5299638353832592
NV,2024,12,motor_vehicle_theft,1.2548850759032892
