state,year,hour,offense_type,period,crime_count,data_year,population,crime_rate_per_100k
AZ,2022,19,motor_vehicle_theft,DST,246,2022,7058999,3.4849133708617894
AZ,2022,19,motor_vehicle_theft,standard,132,2022,7058999,1.8699535160721796
AZ,2022,20,burglary,DST,229,2022,7058999,3.2440860240949174
AZ,2022,20,burglary,standard,104,2022,7058999,1.4732967096326264
AZ,2022,20,motor_vehicle_theft,DST,218,2022,7058999,3.088256564422236
AZ,2022,20,motor_vehicle_theft,standard,109,2022,7058999,1.544128282211118
AZ,2022,21,burglary,DST,217,2022,7058999,3.0740902499065377
AZ,2022,21,burglary,standard,108,2022,7058999,1.5299619676954197
AZ,2022,21,motor_vehicle_theft,DST,251,2022,7058999,3.5557449434402812
AZ,2022,21,motor_vehicle_theft,standard,134,2022,7058999,1.8982861451035762
AZ,2022,22,burglary,DST,180,2022,7058999,2.5499366128256997
AZ,2022,22,burglary,standard,84,2022,7058999,1.1899704193186598
AZ,2022,22,motor_vehicle_theft,DST,216,2022,7058999,3.0599239353908394
AZ,2022,22,motor_vehicle_theft,standard,136,2022,7058999,1.926618774134973
AZ,2022,23,burglary,DST,158,2022,7058999,2.2382776934803363
AZ,2022,23,burglary,standard,80,2022,7058999,1.1333051612558664
AZ,2022,23,motor_vehicle_theft,DST,161,2022,7058999,2.280776637027431
AZ,2022,23,motor_vehicle_theft,standard,91,2022,7058999,1.2891346209285481
AZ,2023,1,burglary,DST,140,2023,7153691,1.9570316917518522
AZ,2023,1,burglary,standard,67,2023,7153691,0.9365794524812435
AZ,2023,1,motor_vehicle_theft,DST,178,2023,7153691,2.488226008084498
AZ,2023,1,motor_vehicle_theft,standard,80,2023,7153691,1.1183038238582013
AZ,2023,2,burglary,DST,133,2023,7153691,1.8591801071642595
AZ,2023,2,burglary,standard,66,2023,7153691,0.922600654683016
AZ,2023,2,motor_vehicle_theft,DST,147,2023,7153691,2.054883276339445
AZ,2023,2,motor_vehicle_theft,standard,83,2023,7153691,1.1602402172528838
AZ,2023,3,burglary,DST,151,2023,7153691,2.110798467532355
AZ,2023,3,burglary,standard,74,2023,7153691,1.0344310370688363
AZ,2023,3,motor_vehicle_theft,DST,129,2023,7153691,1.8032649159713494
AZ,2023,3,motor_vehicle_theft,standard,66,2023,7153691,0.922600654683016
AZ,2023,4,burglary,DST,134,2023,7153691,1.873158904962487
AZ,2023,4,burglary,standard,60,2023,7153691,0.838727867893651
AZ,2023,4,motor_vehicle_theft,DST,118,2023,7153691,1.6494981401908468
AZ,2023,4,motor_vehicle_theft,standard,48,2023,7153691,0.6709822943149207
AZ,2023,5,burglary,DST,139,2023,7153691,1.9430528939536247
AZ,2023,5,burglary,standard,76,2023,7153691,1.0623886326652914
AZ,2023,5,motor_vehicle_theft,DST,114,2023,7153691,1.5935829489979367
AZ,2023,5,motor_vehicle_theft,standard,71,2023,7153691,0.9924946436741537
AZ,2023,6,burglary,DST,180,2023,7153691,2.516183603680953
AZ,2023,6,burglary,standard,73,2023,7153691,1.0204522392706088
AZ,2023,6,motor_vehicle_theft,DST,166,2023,7153691,2.3204804345057677
AZ,2023,6,motor_vehicle_theft,standard,89,2023,7153691,1.244113004042249
AZ,2023,7,burglary,DST,222,2023,7153691,3.1032931112065083
AZ,2023,7,burglary,standard,93,2023,7153691,1.3000281952351591
AZ,2023,7,motor_vehicle_theft,DST,213,2023,7153691,2.977483931022461
AZ,2023,7,motor_vehicle_theft,standard,106,2023,7153691,1.4817525666121167
AZ,2023,8,burglary,DST,327,2023,7153691,4.571066880020398
AZ,2023,8,burglary,standard,151,2023,7153691,2.110798467532355
AZ,2023,8,motor_vehicle_theft,DST,264,2023,7153691,3.690402618732064
AZ,2023,8,motor_vehicle_theft,standard,105,2023,7153691,1.4677737688138892
AZ,2023,9,burglary,DST,274,2023,7153691,3.8301905967143393
AZ,2023,9,burglary,standard,142,2023,7153691,1.9849892873483075
AZ,2023,9,motor_vehicle_theft,DST,213,2023,7153691,2.977483931022461
AZ,2023,9,motor_vehicle_theft,standard,107,2023,7153691,1.4957313644103443
AZ,2023,10,burglary,DST,243,2023,7153691,3.396847864969286
AZ,2023,10,burglary,standard,145,2023,7153691,2.02692568074299
AZ,2023,10,motor_vehicle_theft,DST,230,2023,7153691,3.2151234935923285
AZ,2023,10,motor_vehicle_theft,standard,101,2023,7153691,1.411858577620979
AZ,2023,11,burglary,DST,258,2023,7153691,3.606529831942699
AZ,2023,11,burglary,standard,133,2023,7153691,1.8591801071642595
AZ,2023,11,motor_vehicle_theft,DST,208,2023,7153691,2.9075899420313234
AZ,2023,11,motor_vehicle_theft,standard,116,2023,7153691,1.6215405445943918
AZ,2023,12,burglary,DST,349,2023,7153691,4.878600431581403
