year,state,incident_date,days_from_transition,crime_type,avg_daily_count,avg_daily_rate_per_100k
2022,AZ,2022-03-11,-2,theft_from_motor_vehicle,36,0.5099873225651399
2022,AZ,2022-03-12,-1,burglary,26,0.3683241774081566
2022,AZ,2022-03-12,-1,motor_vehicle_theft,22,0.31165891934536327
2022,AZ,2022-03-12,-1,robbery,3,0.04249894354709499
2022,AZ,2022-03-12,-1,shoplifting,42,0.5949852096593299
2022,AZ,2022-03-12,-1,theft_from_building,8,0.11333051612558664
2022,AZ,2022-03-12,-1,theft_from_motor_vehicle,34,0.48165469353374324
2022,AZ,2022-03-13,0,burglary,30,0.42498943547094997
2022,AZ,2022-03-13,0,motor_vehicle_theft,21,0.29749260482966494
2022,AZ,2022-03-13,0,robbery,3,0.04249894354709499
2022,AZ,2022-03-13,0,shoplifting,34,0.48165469353374324
2022,AZ,2022-03-13,0,theft_from_building,6,0.08499788709418998
2022,AZ,2022-03-13,0,theft_from_motor_vehicle,41,0.5808188951436316
2022,AZ,2022-03-14,1,burglary,18,0.25499366128256995
2022,AZ,2022-03-14,1,motor_vehicle_theft,13,0.1841620887040783
2022,AZ,2022-03-14,1,robbery,3,0.04249894354709499
2022,AZ,2022-03-14,1,shoplifting,57,0.8074799273948048
2022,AZ,2022-03-14,1,theft_from_building,9,0.12749683064128498
2022,AZ,2022-03-14,1,theft_from_motor_vehicle,42,0.5949852096593299
2022,AZ,2022-03-15,2,burglary,23,0.3258252338610616
2022,AZ,2022-03-15,2,motor_vehicle_theft,25,0.35415786289245826
2022,AZ,2022-03-15,2,robbery,2,0.02833262903139666
2022,AZ,2022-03-15,2,shoplifting,57,0.8074799273948048
2022,AZ,2022-03-15,2,theft_from_building,11,0.15582945967268164
2022,AZ,2022-03-15,2,theft_from_motor_vehicle,58,0.8216462419105032
2022,AZ,2022-03-16,3,burglary,28,0.39665680643955326
2022,AZ,2022-03-16,3,motor_vehicle_theft,13,0.1841620887040783
2022,AZ,2022-03-16,3,robbery,7,0.09916420160988831
2022,AZ,2022-03-16,3,shoplifting,52,0.7366483548163132
2022,AZ,2022-03-16,3,theft_from_building,6,0.08499788709418998
2022,AZ,2022-03-16,3,theft_from_motor_vehicle,28,0.39665680643955326
2022,AZ,2022-03-17,4,burglary,24,0.33999154837675993
2022,AZ,2022-03-17,4,motor_vehicle_theft,18,0.25499366128256995
2022,AZ,2022-03-17,4,robbery,3,0.04249894354709499
2022,AZ,2022-03-17,4,shoplifting,51,0.7224820403006149
2022,AZ,2022-03-17,4,theft_from_building,11,0.15582945967268164
2022,AZ,2022-03-17,4,theft_from_motor_vehicle,27,0.3824904919238549
2022,AZ,2022-03-18,5,burglary,25,0.35415786289245826
2022,AZ,2022-03-18,5,motor_vehicle_theft,26,0.3683241774081566
2022,AZ,2022-03-18,5,robbery,7,0.09916420160988831
2022,AZ,2022-03-18,5,shoplifting,51,0.7224820403006149
2022,AZ,2022-03-18,5,theft_from_building,17,0.24082734676687162
2022,AZ,2022-03-18,5,theft_from_motor_vehicle,34,0.48165469353374324
2022,AZ,2022-03-19,6,burglary,26,0.3683241774081566
2022,AZ,2022-03-19,6,motor_vehicle_theft,16,0.2266610322511733
2022,AZ,2022-03-19,6,robbery,0,0.0
2022,AZ,2022-03-19,6,shoplifting,47,0.6658167822378215
2022,AZ,2022-03-19,6,theft_from_building,11,0.15582945967268164
2022,AZ,2022-03-19,6,theft_from_motor_vehicle,38,0.5383199515965366
2022,AZ,2022-03-20,7,burglary,32,0.4533220645023466
2022,AZ,2022-03-20,7,motor_vehicle_theft,16,0.2266610322511733
2022,AZ,2022-03-20,7,robbery,3,0.04249894354709499
2022,AZ,2022-03-20,7,shoplifting,40,0.5666525806279332
2022,AZ,2022-03-20,7,theft_from_building,8,0.11333051612558664
